category,name,desc,imgUrl,comments
art-design,,,,
books,,,,
business,,,,
charity,,,,
entertainment,,,,
faith and religion,,,,
family,--,--,--,not used in our model
fashion,,,,
food-drink,,,,
funny,,,,
government,,,,
health,,,,
music,,,,
news,,,,
science,,,,
sports,,,,
technology,,,,
television,--,--,--,not used in our model
travel,,,,
